Time(m),Power(KW)
0,0.081301
1,1.170732
2,2.260163
3,3.349594
4,4.439025
5,5.528456
6,6.617887
7,7.707318
8,8.796749
9,9.88618
10,10.975611
11,10.975611
12,10.975611
13,10.975611
14,10.975611
15,10.975611
16,10.975611
17,10.975611
18,10.975611
19,10.975611
20,10.975611
21,10.975611
22,10.975611
23,10.975611
24,10.975611
25,10.975611
26,10.975611
27,10.975611
28,10.975611
29,10.975611
30,10.975611
31,10.51219637
32,10.04878173
33,9.585367098
34,9.121952463
35,8.658537829
36,9.081302057
37,9.504066285
38,9.926830512
39,10.34959474
40,10.77235897
41,10.82113946
42,10.86991994
43,10.91870043
44,10.96748092
45,11.01626141
46,11.01355138
47,11.01084135
48,11.00813133
49,11.0054213
50,11.00271127
51,11.00000124
52,10.99729122
53,10.99458119
54,10.99187116
55,10.98916114
56,10.98645111
57,10.98374108
58,10.98103105
59,10.97832103
60,10.975611
61,10.12195246
62,9.268293927
63,8.41463539
64,7.560976854
65,6.707318317
66,7.560976854
67,8.41463539
68,9.268293927
69,10.12195246
70,10.975611
71,10.975611
72,10.975611
73,10.975611
74,10.975611
75,10.975611
76,10.975611
77,10.975611
78,10.975611
79,10.975611
80,10.975611
81,10.975611
82,10.975611
83,10.975611
84,10.975611
85,10.975611
86,10.975611
87,10.975611
88,10.975611
89,10.975611
90,10.975611
91,10.64227767
92,10.30894433
93,9.975611
94,9.642277667
95,9.308944333
96,9.475611
97,9.642277667
98,9.808944333
99,9.975611
100,10.14227767
101,10.30894433
102,10.475611
103,10.64227767
104,10.80894433
105,10.975611
106,10.96748092
107,10.95935084
108,10.95122076
109,10.94309067
110,10.93496059
111,10.92683051
112,10.91870043
113,10.91057035
114,10.90244027
115,10.89431019
116,10.88618011
117,10.87805002
118,10.86991994
119,10.86178986
120,10.85365978
121,10.34959474
122,9.845529699
123,9.341464659
124,8.837399618
125,8.333334577
126,8.85365978
127,9.373984984
128,9.894310187
129,10.41463539
130,10.93496059
131,10.93699311
132,10.93902563
133,10.94105815
134,10.94309067
135,10.9451232
136,10.94715572
137,10.94918824
138,10.95122076
139,10.95325328
140,10.9552858
141,10.95731832
142,10.95935084
143,10.96138336
144,10.96341588
145,10.9654484
146,10.96748092
147,10.96951344
148,10.97154596
149,10.97357848
150,10.975611
151,9.967480919
152,8.959350837
153,7.951220756
154,6.943090675
155,5.934960593
156,5.642277667
157,5.34959474
158,5.056911813
159,4.764228886
160,4.471545959
161,4.325204496
162,4.178863033
163,4.032521569
164,3.886180106
165,3.739838642
166,3.373984984
167,3.008131325
168,2.642277667
169,2.276424008
170,1.91057035
171,1.78861913
172,1.666667911
173,1.544716691
174,1.422765472
175,1.300814252
176,1.111112355
177,0.921410458
178,0.731708561
179,0.542006664
180,0.352304767
181,0.16260287
